row,regNDVI ,coverNT,propMT,propCFP,propWTD,lat,long
1,0.7559,2.478571429,0.204545455,0.272727273,0.090909091,38.60189437,-123.1151443
2,0.5237,9.485714286,0.25,0.25,0.068181818,38.17499167,-122.2210333
3,0.354,2.878571429,0.304347826,0.217391304,0.043478261,35.265475,-118.6909
4,0.7059,26.11142857,0.102040816,0.183673469,0.081632653,39.67139167,-122.9713667
5,0.814,169.6571429,0.117647059,0.161764706,0,41.23761667,-123.6667333
6,0.6757,22.16071429,0.154929577,0.323943662,0.028169014,39.41316667,-122.5917917
7,0.7378,15.575,0.142857143,0.095238095,0.023809524,40.31135833,-123.0107833
8,0.6032,19.63571429,0.179104478,0.23880597,0.149253731,35.62540083,-121.0597167
9,0.8248,42.73571429,0.132075472,0.113207547,0.018867925,40.9652,-123.6941833
10,0.7558,36.00892857,0.08,0.16,0.06,40.7729,-123.4842417
11,0.7378,32.67678571,0.059701493,0.179104478,0.044776119,41.16548333,-122.3208083
12,0.3627,1.621428571,0.184210526,0.368421053,0.105263158,35.7045,-120.258
13,0.3806,10.9225,0.19047619,0.301587302,0.126984127,33.40865833,-118.4257917
14,0.517,5.442857143,0.181818182,0.415584416,0.051948052,36.312475,-120.664975
15,0.7074,34.95178571,0.101449275,0.304347826,0.057971014,39.80028333,-121.4867833
16,0.6523,47.33928571,0.17699115,0.256637168,0.044247788,37.18254167,-121.6556333
